Date,case_id,case_name,action,State,,,
2020-11-04,0,Donald J. Trump for President Inc. v. Benson,Complaint,Michigan,,,
2020-11-06,0,Donald J. Trump for President Inc. v. Benson,Denied,Michigan,,,
2020-11-07,0,Donald J. Trump for President Inc. v. Benson,Appeal,Michigan,,,
2020-11-04,1,Stoddard v. City Election Commission,Complaint,Michigan,,,
2020-11-06,1,Stoddard v. City Election Commission,Denied,Michigan,,,
2020-11-08,2,Costantino v. Detroit,Complaint,Michigan,,,
2020-11-13,2,Costantino v. Detroit,Denied,Michigan,,,
2020-11-11,3,Donald J. Trump for President Inc. v. Benson,Complaint,Michigan,,,
2020-11-11,4,Bally v. Whitmer,Complaint,Michigan,,,
